seq1312	seq1312
seq20384	seq150501
seq20384	seq150502
seq20384	seq150503
seq20384	seq150327
seq20384	seq150328
seq20384	seq20383
seq20672	seq20672
seq20672	seq20673
seq20672	seq20488
seq20672	seq20489
seq20672	seq36167
seq20672	seq36168
seq20672	seq36030
seq20672	seq36031
seq20672	seq179358
seq20864	seq20864
seq20896	seq20896
seq20896	seq184231
seq20896	seq170190
seq20896	seq170097
seq20896	seq170323
seq20896	seq109079
seq21056	seq21056
seq21088	seq21088
seq21088	seq82885
seq21088	seq21087
seq21120	seq21120
seq21120	seq190848
seq21120	seq21121
seq21120	seq20932
seq21120	seq20933
seq21120	seq21094
seq21120	seq21095
seq21120	seq190888
seq21120	seq190889
seq21120	seq119146
seq21120	seq179979
seq21120	seq179980
seq21120	seq21071
seq21120	seq119119
seq21120	seq119151
seq21120	seq179823
seq21120	seq21072
seq21120	seq119152
seq21120	seq179824
seq21120	seq119057
seq21120	seq119153
seq21120	seq119058
seq21120	seq119154
seq21120	seq190898
seq21120	seq119155
seq21120	seq190899
seq21120	seq119156
seq21120	seq20921
seq21120	seq190873
seq21120	seq20922
seq21120	seq190874
seq21120	seq119133
seq21120	seq190781
seq21120	seq119134
seq21120	seq190782
seq21120	seq179871
seq21152	seq21152
seq21152	seq210313
seq21152	seq210314
seq21152	seq210350
seq21152	seq146597
seq21152	seq146403
seq21152	seq146404
seq21152	seq146427
seq21152	seq65387
seq21152	seq112173
seq21312	seq21312
seq21664	seq21664
seq21664	seq55926
seq21664	seq55992
seq21664	seq150619
seq21696	seq21696
seq21696	seq21831
seq21696	seq21802
seq21792	seq21792
seq21792	seq204352
seq21792	seq204333
seq21792	seq75220
seq21792	seq21749
seq21792	seq21750
seq21792	seq206521
seq21792	seq21660
seq21856	seq21856
seq21856	seq22016
seq21856	seq22144
seq21856	seq21895
seq21856	seq110283
seq21856	seq110333
seq21952	seq21952
seq21952	seq21855
seq22080	seq22080
seq22080	seq21924
seq22080	seq21915
seq32288	seq32288
seq32416	seq32416
seq32416	seq32397
seq32416	seq32398
seq32416	seq32594
seq32416	seq32595
seq32416	seq32415
seq32640	seq32640
seq32640	seq32641
seq32640	seq68952
seq33504	seq33504
seq33504	seq85273
seq33504	seq213029
seq33504	seq119876
seq33504	seq25287
seq33504	seq93863
seq33504	seq168030
seq33536	seq33536
seq33536	seq164617
seq33536	seq154816
seq33536	seq164643
seq33536	seq154981
seq33536	seq154889
seq33536	seq154794
seq33536	seq154831
seq33536	seq164624
seq33536	seq154962
seq33536	seq154903
seq33536	seq164666
seq33536	seq154971
seq33536	seq164669
seq33536	seq164701
seq33536	seq213243
seq33536	seq213308
seq33568	seq33568
seq33568	seq33653
seq33568	seq33685
seq33568	seq33541
seq33568	seq33547
seq33568	seq33566
seq33664	seq33664
seq33664	seq199886
seq33664	seq5200
seq33664	seq185748
seq33664	seq5239
seq33664	seq32347
seq33664	seq32572
seq33664	seq162397
seq34336	seq34336
seq34336	seq34337
seq34336	seq34198
seq34336	seq34199
seq34336	seq34235
seq34432	seq34432
seq34432	seq34593
seq34432	seq34632
seq34432	seq34477
seq34432	seq34414
seq34432	seq34511
seq34432	seq34581
seq34432	seq34614
seq35104	seq35104
seq35104	seq35073
seq35104	seq34951
seq35104	seq34892
seq35104	seq94608
seq35104	seq34898
seq35104	seq35039
seq35136	seq35136
seq45056	seq45056
seq45056	seq45144
seq45056	seq45145
seq45056	seq45055
seq45376	seq45376
seq45376	seq45377
seq45376	seq45305
seq45504	seq45504
seq45504	seq45505
seq45504	seq83761
seq45504	seq218353
seq45504	seq45458
seq45504	seq83762
seq45504	seq218354
seq45504	seq45557
seq45504	seq45591
seq45504	seq218359
seq45504	seq218391
seq45504	seq42904
seq45504	seq45592
seq45504	seq218360
seq45504	seq218392
seq45504	seq45625
seq45504	seq45626
seq45504	seq218330
seq45504	seq218331
seq45504	seq83741
seq45504	seq42974
seq45504	seq45470
seq45504	seq83742
seq45504	seq45471
seq45568	seq45568
seq45568	seq45513
seq45728	seq45728
seq45888	seq45888
seq45984	seq45984
seq46240	seq46240
seq46240	seq46241
seq46240	seq24147
seq46240	seq24148
seq46592	seq46592
seq46592	seq46593
seq46592	seq46733
seq46592	seq46734
seq46592	seq100672
seq46592	seq100742
seq46592	seq100743
seq46592	seq100671
seq46592	seq151140
seq46752	seq46752
seq46752	seq46746
seq46752	seq46747
seq46752	seq131379
seq46752	seq131217
seq46752	seq131380
seq46848	seq46848
seq46848	seq128182
seq46848	seq47008
seq46848	seq46977
seq46848	seq103046
seq46880	seq46880
seq46880	seq154131
seq46880	seq218259
seq46880	seq97016
seq46880	seq218267
seq46880	seq46876
seq46880	seq46877
seq46880	seq143295
seq46880	seq84478
seq46880	seq84324
seq46880	seq84454
seq46880	seq84455
seq46880	seq158604
seq46880	seq158605
seq46880	seq7633
seq46880	seq7634
seq46880	seq84479
seq46944	seq46944
seq46944	seq46945
seq46944	seq20165
seq46944	seq7112
seq46944	seq120524
seq46944	seq16530
seq46944	seq4793
seq46944	seq4794
seq46944	seq120572
seq46976	seq46976
seq46976	seq103140
seq47168	seq47168
seq47168	seq214796
seq47168	seq47216
seq47168	seq47252
seq47168	seq47167
seq47264	seq47264
seq47264	seq47203
seq47264	seq47204
seq47264	seq47263
seq47264	seq215267
seq47264	seq215266
seq47264	seq177162
seq47264	seq177161
seq47264	seq207551
seq47264	seq93281
seq47264	seq93280
seq47264	seq193262
seq47264	seq94385
seq47264	seq94386
seq47264	seq216144
seq47264	seq216143
seq47264	seq28919
seq47264	seq28918
seq47264	seq136798
seq47264	seq159604
seq47264	seq159605
seq47264	seq159415
seq47488	seq47488
seq47488	seq47489
seq47488	seq47461
seq47488	seq47462
seq47488	seq47321
seq47488	seq208808
seq47488	seq208807
seq47520	seq47520
seq47648	seq47648
seq47648	seq107433
seq47648	seq139934
seq47648	seq140609
seq54816	seq54816
seq54816	seq2707
seq54816	seq2732
seq54816	seq2660
seq54816	seq54894
seq54816	seq54859
seq54816	seq165006
seq54816	seq170096
seq54816	seq165138
seq55008	seq55008
seq55008	seq55009
seq55008	seq54959
seq55008	seq54960
seq55008	seq38163
seq55008	seq38164
seq55008	seq54777
seq55008	seq54778
seq55520	seq55520
seq55520	seq55267
seq55520	seq55268
seq55520	seq26952
seq55520	seq26953
seq55520	seq14996
seq55520	seq14997
seq55520	seq19517
seq55520	seq55519
seq55744	seq55744
seq55744	seq41569
seq55744	seq145991
seq55744	seq206375
seq55744	seq145960
seq55744	seq55819
seq55744	seq165870
seq55744	seq125559
seq55744	seq145879
seq55744	seq125464
seq55744	seq125433
seq55744	seq184602
seq55744	seq63515
seq55744	seq125278
seq55744	seq125470
seq55744	seq206335
seq56992	seq56992
seq56992	seq56993
seq56992	seq141041
seq56992	seq18465
seq56992	seq93516
seq56992	seq18464
seq56992	seq18403
seq56992	seq18402
seq56992	seq10884
seq56992	seq10883
seq56992	seq46759
seq56992	seq46757
seq56992	seq46758
seq56992	seq157863
seq56992	seq91001
seq56992	seq157864
seq56992	seq182056
seq56992	seq182053
seq56992	seq182057
seq56992	seq157322
seq56992	seq157351
seq56992	seq157282
seq56992	seq157283
seq56992	seq157348
seq56992	seq157349
seq56992	seq157352
seq56992	seq157321
seq56992	seq157265
seq56992	seq157266
seq56992	seq157367
seq56992	seq157368
seq56992	seq206676
seq56992	seq178700
seq56992	seq178699
seq56992	seq65012
seq56992	seq171797
seq56992	seq171969
seq56992	seq171970
seq56992	seq171796
seq56992	seq187001
seq56992	seq69137
seq56992	seq69138
seq56992	seq187002
seq56992	seq91002
seq56992	seq93594
seq56992	seq91132
seq56992	seq91131
seq56992	seq70590
seq56992	seq159777
seq56992	seq70591
seq56992	seq159871
seq57120	seq57120
seq57280	seq57280
seq57280	seq56996
seq57280	seq56997
seq57280	seq57158
seq57280	seq56999
seq57280	seq57031
seq57280	seq57159
seq57280	seq57032
seq57280	seq57192
seq57280	seq57002
seq57280	seq57003
seq57280	seq57004
seq57280	seq57263
seq57280	seq57008
seq57280	seq57264
seq57280	seq57009
seq57280	seq57201
seq57280	seq57202
seq57280	seq57109
seq57280	seq57110
seq57280	seq57111
seq57280	seq57112
seq57280	seq56985
seq57280	seq56986
seq57280	seq57116
seq57280	seq57276
seq57280	seq56989
seq57280	seq57117
seq57280	seq56990
seq57280	seq57279
seq57344	seq57344
seq57568	seq57568
seq57568	seq68612
seq57568	seq204782
seq57568	seq143759
seq57568	seq143835
seq57568	seq96273
seq65376	seq65376
seq65376	seq67467
seq65376	seq26619
seq65376	seq2304
seq65376	seq58662
seq65376	seq32075
seq65376	seq58671
seq65376	seq165971
seq65376	seq32058
seq65376	seq116956
seq65376	seq32061
seq65376	seq32062
seq65376	seq31617
seq65376	seq31618
seq65376	seq31686
seq65376	seq31687
seq65376	seq31721
seq65376	seq31722
seq65376	seq31797
seq65376	seq31798
seq65376	seq31709
seq65376	seq31710
seq65376	seq31711
seq65376	seq177853
seq65376	seq177649
seq65376	seq177650
seq65376	seq177651
seq65600	seq65600
seq65600	seq144567
seq65792	seq65792
seq65792	seq65793
seq65792	seq65799
seq65792	seq65800
seq65792	seq65610
seq65792	seq65611
seq65792	seq65805
seq65792	seq65806
seq65888	seq65888
seq65888	seq65638
seq65888	seq65619
seq65888	seq65620
seq65888	seq154090
seq65888	seq69430
seq65888	seq154089
seq65888	seq69431
seq65888	seq175452
seq65888	seq175453
seq65888	seq91922
seq65888	seq143618
seq65888	seq143619
seq65888	seq143591
seq65888	seq143592
seq65888	seq91923
seq65888	seq202619
seq65952	seq65952
seq66496	seq66496
seq66496	seq55907
seq66496	seq5990
seq66496	seq1096
seq66496	seq186345
seq66496	seq38667
seq66496	seq5998
seq66496	seq66386
seq66496	seq101106
seq66496	seq101107
seq66496	seq101171
seq66496	seq30004
seq66496	seq67863
seq66496	seq1049
seq66496	seq36828
seq66496	seq22301
seq66496	seq66590
seq66496	seq66495
seq66496	seq66591
seq66496	seq36743
seq66496	seq186000
seq66496	seq62521
seq66496	seq116156
seq66496	seq9725
seq66496	seq5989
seq66496	seq36680
seq66496	seq62510
seq66496	seq155377
seq66496	seq89300
seq66496	seq168436
seq66496	seq138312
seq66496	seq180567
seq66496	seq134106
seq66496	seq125405
seq66496	seq91289
seq66496	seq125404
seq66528	seq66528
seq66560	seq66560
seq66560	seq171607
seq66592	seq66592
seq66592	seq66561
seq66592	seq66413
seq66592	seq171674
seq67136	seq67136
seq67136	seq129816
seq67136	seq29094
seq67136	seq29095
seq67136	seq129898
seq67136	seq130026
seq67136	seq29067
seq67136	seq129899
seq67136	seq130027
seq67136	seq129836
seq67136	seq129871
seq67136	seq129967
seq67136	seq129872
seq67136	seq129968
seq67136	seq129842
seq67136	seq129843
seq67136	seq129814
seq67136	seq129815
seq67136	seq130009
seq67136	seq130010
seq67136	seq129948
seq67136	seq129949
seq67136	seq195737
seq67136	seq162114
seq67136	seq162115
seq67136	seq162150
seq67136	seq162151
seq67136	seq195721
seq67136	seq162092
seq67136	seq162126
seq67136	seq162127
seq67136	seq162066
seq67136	seq162994
seq67136	seq162067
seq67136	seq162996
seq67136	seq162101
seq67136	seq162997
seq67136	seq162102
seq67136	seq50071
seq67136	seq195705
seq67136	seq195706
seq67136	seq81127
seq67136	seq81128
seq67136	seq81051
seq67136	seq89643
seq67136	seq89845
seq67136	seq89593
seq67136	seq89594
seq67136	seq28337
seq67136	seq50070
seq67136	seq50051
seq73600	seq73600
seq74624	seq74624
seq74624	seq74752
seq74624	seq83041
seq74624	seq74698
seq74624	seq74667
seq74624	seq74699
seq74624	seq74668
seq74624	seq148492
seq74624	seq74830
seq74624	seq74831
seq74624	seq85
seq74624	seq86
seq74624	seq60
seq74624	seq74751
seq74656	seq74656
seq74656	seq54849
seq74656	seq69126
seq74656	seq74796
seq74656	seq69134
seq74656	seq116976
seq74656	seq117087
seq75104	seq75104
seq75360	seq75360
seq75360	seq75342
seq75360	seq75343
seq75360	seq75320
seq75360	seq75321
seq75360	seq75359
seq75616	seq75616
seq75616	seq120744
seq75616	seq120743
seq75776	seq75776
seq75776	seq172
seq75776	seq88748
seq75776	seq135341
seq75776	seq52579
seq75776	seq113615
seq75776	seq193359
seq75776	seq44824
seq75776	seq4579
seq75808	seq75808
seq75808	seq207927
seq75808	seq173411
seq75808	seq48296
seq75808	seq88650
seq75808	seq81196
seq75808	seq88652
seq75808	seq140155
seq75808	seq52847
seq75808	seq241
seq75808	seq171166
seq75808	seq180901
seq75808	seq41242
seq75808	seq214720
seq75808	seq36649
seq75808	seq170417
seq75808	seq126584
seq75808	seq4617
seq75808	seq48346
seq75808	seq35581
seq75808	seq193177
seq75808	seq130036
seq75808	seq113672
seq75808	seq70939
seq75808	seq213351
seq76032	seq76032
seq76032	seq76033
seq76032	seq107939
seq76032	seq107940
seq76032	seq104122
seq76032	seq104123
seq76160	seq76160
seq76160	seq97637
seq76160	seq76085
seq76160	seq97563
seq76160	seq97564
seq76160	seq76159
seq76160	seq91960
seq76160	seq201289
seq76160	seq201290
seq76160	seq201326
seq76640	seq76640
seq76640	seq76512
seq76640	seq76747
seq76640	seq76689
seq76640	seq76753
seq76640	seq76661
seq76640	seq76662
seq76640	seq76751
seq76768	seq76768
seq76768	seq89254
seq76768	seq113936
seq76768	seq89269
seq76768	seq143222
seq76768	seq144890
seq76768	seq187048
seq76768	seq110281
seq76768	seq16042
seq76768	seq187722
seq76768	seq115028
seq76768	seq129207
seq76768	seq153932
seq76768	seq74893
seq76768	seq129358
seq76768	seq212014
seq76768	seq115088
seq76768	seq129234
seq76768	seq120500
seq76768	seq16055
seq76768	seq187529
seq76768	seq75742
seq76864	seq76864
seq76864	seq76896
seq76864	seq155265
seq76864	seq155170
seq76864	seq155171
seq76864	seq76836
seq76864	seq155172
seq76864	seq155268
seq76864	seq76837
seq76864	seq155173
seq76864	seq155269
seq76864	seq76968
seq76864	seq76969
seq76864	seq76876
seq76864	seq76972
seq76864	seq76877
seq76864	seq76973
seq76864	seq76974
seq76864	seq155278
seq76864	seq76911
seq76864	seq76912
seq76864	seq76849
seq76864	seq76850
seq76864	seq76915
seq76864	seq155251
seq76864	seq76916
seq76864	seq155252
seq76864	seq76923
seq76864	seq155163
seq76864	seq76924
seq76864	seq155164
seq76864	seq76863
seq76864	seq76895
seq76992	seq76992
seq77024	seq77024
seq77024	seq77029
seq77024	seq77222
seq77024	seq77136
seq77024	seq77203
seq77024	seq77044
seq77024	seq77013
seq77024	seq77173
seq77024	seq77174
seq77024	seq77213
seq77024	seq76990
seq77184	seq77184
seq77184	seq77185
seq77184	seq77199
seq77184	seq77050
seq77184	seq77051
seq77184	seq77179
seq77184	seq77180
seq77600	seq77600
seq77696	seq77696
seq78304	seq78304
seq78912	seq78912
seq78912	seq215963
seq78912	seq157464
seq78912	seq123660
seq78912	seq157463
seq79104	seq79104
seq79104	seq79039
seq79648	seq79648
seq79904	seq79904
seq79904	seq79872
seq80000	seq80000
seq80064	seq80064
seq80064	seq92482
seq80064	seq214274
seq80064	seq214385
seq80064	seq214386
seq80064	seq214264
seq80064	seq92483
seq80064	seq24004
seq80064	seq90532
seq80064	seq182054
seq80064	seq90533
seq80064	seq181961
seq80064	seq180772
seq80064	seq180773
seq80064	seq180774
seq80064	seq180775
seq80064	seq182055
seq80064	seq180873
seq80064	seq180874
seq80064	seq180815
seq80064	seq182025
seq80064	seq115882
seq80064	seq44557
seq80064	seq181933
seq80064	seq80078
seq80064	seq181934
seq80064	seq124272
seq80064	seq180786
seq80064	seq88759
seq80064	seq180759
seq80064	seq180732
seq80064	seq180787
seq80064	seq92596
seq80064	seq124372
seq80064	seq185620
seq80064	seq92597
seq80064	seq124373
seq80064	seq182024
seq80064	seq166357
seq80064	seq103638
seq80064	seq103599
seq80064	seq103600
seq80064	seq103639
seq80064	seq103576
seq80064	seq103577
seq80064	seq103515
seq80064	seq103516
seq80064	seq183646
seq80064	seq42881
seq80064	seq42882
seq80064	seq183651
seq80064	seq183780
seq80064	seq183815
seq80064	seq72168
seq80064	seq55178
seq80064	seq183850
seq80064	seq55179
seq80064	seq42926
seq80064	seq42927
seq80064	seq55151
seq80064	seq55152
seq80064	seq42994
seq80064	seq42995
seq80064	seq55193
seq80064	seq55257
seq80064	seq55162
seq80064	seq55258
seq80064	seq55163
seq80064	seq183675
seq80064	seq55230
seq80064	seq55231
seq80064	seq166358
seq80064	seq180758
seq80064	seq88760
seq80064	seq53115
seq80064	seq92539
seq80064	seq53116
seq80064	seq92540
seq80064	seq180733
seq80512	seq80512
seq80512	seq179428
seq81632	seq81632
seq81632	seq2496
seq81632	seq2501
seq81632	seq2488
seq81632	seq2416
seq81728	seq81728
seq81792	seq81792
seq81792	seq81734
seq81792	seq81735
seq81792	seq81707
seq81824	seq81824
seq81824	seq82432
seq81824	seq82451
seq81824	seq81663
seq82112	seq82112
seq82240	seq82240
seq82240	seq10228
seq82240	seq10229
seq82240	seq85916
seq82240	seq183591
seq82240	seq183592
seq82240	seq183532
seq82240	seq183533
seq82240	seq85712
seq82240	seq85915
seq82240	seq85711
seq82240	seq175429
seq82240	seq6954
seq82240	seq144646
seq82240	seq146620
seq82240	seq106723
seq82240	seq146659
seq82240	seq44644
seq82240	seq199654
seq82240	seq49735
seq82240	seq144647
seq82240	seq146698
seq82240	seq41517
seq82240	seq71821
seq82240	seq199789
seq82240	seq146643
seq82240	seq146648
seq82240	seq199737
seq82240	seq146650
seq82240	seq146651
seq82240	seq144508
seq82240	seq146621
seq82240	seq17759
seq82240	seq44396
seq82240	seq44585
seq82240	seq199790
seq82240	seq99322
seq82240	seq63392
seq82240	seq204655
seq82240	seq204645
seq82240	seq146298
seq82240	seq146297
seq82240	seq117681
seq82240	seq117680
seq82240	seq172401
seq82240	seq172407
seq82240	seq172408
seq82656	seq82656
seq82656	seq19607
seq82880	seq82880
seq82880	seq82723
seq82880	seq82947
seq82880	seq82724
seq82880	seq82853
seq82880	seq82854
seq82880	seq82954
seq82880	seq82955
seq82880	seq82709
seq82880	seq82869
seq82880	seq82710
seq82880	seq82870
seq82880	seq82879
seq89728	seq89728
seq89728	seq208736
seq89728	seq89727
seq89952	seq89952
seq91136	seq91136
seq91136	seq187271
seq91136	seq187272
seq91136	seq187439
seq91136	seq187163
seq91136	seq187164
seq91264	seq91264
seq91264	seq91286
seq91392	seq91392
seq91392	seq91466
seq91392	seq115067
seq91552	seq91552
seq91552	seq91554
seq91552	seq176683
seq91552	seq85677
seq91552	seq85648
seq91552	seq160955
seq92032	seq92032
seq92736	seq92736
seq93344	seq93344
seq93760	seq93760
seq93760	seq93882
seq93760	seq93693
seq93760	seq93761
seq93760	seq93815
seq93760	seq93791
seq93760	seq93883
seq93760	seq93694
seq93760	seq93790
seq93760	seq210890
seq93760	seq73357
seq93760	seq210891
seq93760	seq73358
seq93760	seq73496
seq93760	seq210906
seq93760	seq88665
seq93760	seq210882
seq93760	seq210883
seq93760	seq210865
seq93760	seq88670
seq93760	seq88671
seq93760	seq141089
seq93760	seq57730
seq93760	seq57731
seq93760	seq57607
seq93760	seq57608
seq93760	seq57683
seq93760	seq57684
seq93760	seq16633
seq93760	seq156907
seq93760	seq199949
seq93760	seq199948
seq93760	seq23153
seq93760	seq23118
seq93760	seq162899
seq93760	seq162857
seq93760	seq162858
seq93760	seq134678
seq93760	seq134624
seq93760	seq134625
seq93760	seq134598
seq93760	seq134599
seq93760	seq162826
seq93760	seq162827
seq93760	seq134679
seq93760	seq162775
seq94208	seq94208
seq94208	seq115753
seq94208	seq27574
seq94208	seq47620
seq94208	seq113571
seq94208	seq19350
seq94208	seq171889
seq94208	seq88317
seq94208	seq114890
seq94208	seq25687
seq94208	seq85192
seq94208	seq25895
seq94432	seq94432
seq94432	seq94433
seq94432	seq94473
seq94432	seq94474
seq94624	seq94624
seq95104	seq95104
seq95104	seq6372
seq95104	seq6550
seq95104	seq140136
seq95104	seq140524
seq95104	seq139940
seq95424	seq95424
seq95424	seq95491
seq95424	seq95492
seq95424	seq7749
seq95424	seq95461
seq95424	seq7750
seq95424	seq95462
seq95424	seq95403
seq95424	seq95404
seq95424	seq7645
seq95424	seq95423
seq95424	seq215331
seq95424	seq215200
seq95424	seq215264
seq95424	seq215328
seq95424	seq215201
seq95424	seq215265
seq95424	seq215234
seq95424	seq215235
seq95424	seq215332
seq95424	seq215206
seq95424	seq215207
seq95424	seq215180
seq95424	seq215181
seq95424	seq215345
seq95424	seq215346
seq95424	seq215327
seq95424	seq100498
seq95424	seq100515
seq95424	seq100486
seq95424	seq100487
seq95424	seq100395
seq95424	seq100396
seq95424	seq100397
seq95424	seq100499
seq95424	seq60912
seq95424	seq60807
seq95424	seq60808
seq95424	seq60874
seq95424	seq60875
seq95424	seq60913
seq95424	seq60983
seq95424	seq60984
seq95424	seq166991
seq95424	seq11463
seq95424	seq11712
seq95424	seq11713
seq95424	seq11522
seq95424	seq11714
seq95424	seq11523
seq95424	seq11715
seq95424	seq11655
seq95424	seq11656
seq95424	seq166990
seq95424	seq167032
seq95424	seq176435
seq95424	seq176424
seq95424	seq176425
seq95424	seq176464
seq95424	seq176465
seq95424	seq176436
seq95424	seq187350
seq95424	seq187349
seq95424	seq203350
seq95424	seq12770
seq95424	seq203311
seq95424	seq203312
seq95424	seq203314
seq95424	seq12727
seq95424	seq12728
seq95424	seq88538
seq95936	seq95936
seq95936	seq96042
seq95936	seq96043
seq95936	seq95935
seq102432	seq102432
seq102432	seq102433
seq102432	seq175873
seq102432	seq102594
seq102432	seq175874
seq102432	seq102595
seq102432	seq175843
seq102432	seq175844
seq102432	seq175879
seq102432	seq175880
seq102432	seq175849
seq102432	seq175850
seq102432	seq102609
seq102432	seq102610
seq102432	seq175794
seq102432	seq175795
seq102432	seq102452
seq102432	seq102453
seq102432	seq102426
seq102432	seq175834
seq102432	seq102427
